Symbol;Company;Industry
SAP.DE;SAP SE;Packaged software
SIE.DE;Siemens Aktiengesellschaft;Industrial machinery
ALV.DE;Allianz SE;Multi-line insurance
DTE.DE;Deutsche Telekom AG;Major telecommunications
ENR.DE;Siemens Energy AG;Electrical products
MUV2.DE;Munchener Ruckversicherungs-Gesellschaft AG;Life/Health insurance
RHM.DE;Rheinmetall AG;Aerospace & defense
DBK.DE;Deutsche Bank Aktiengesellschaft;Investment banks/Brokers
MBG.DE;Mercedes-Benz Group AG;Motor vehicles
DHL.DE;Deutsche Post AG;Air freight/Couriers
BMW.DE;Bayerische Motoren Werke AG;Motor vehicles
MRK.DE;Merck KGaA;Pharmaceuticals: major
VOW.DE;Volkswagen AG;Motor vehicles
SHL.DE;Siemens Healthineers AG;Medical specialties
IFX.DE;Infineon Technologies AG;Semiconductors
EOAN.DE;E.ON SE;Electric utilities
DB1.DE;Deutsche Boerse AG;Investment banks/Brokers
P911.DE;Porsche AG;Motor vehicles
BAS.DE;BASF SE;Chemicals: specialty
HEI.DE;Heidelberg Materials AG;Construction materials
CBK.DE;Commerzbank AG;Regional banks
RWE.DE;RWE AG;Electric utilities
HNR1.DE;Hannover Rueck SE;Life/Health insurance
BAYN.DE;Bayer AG;Pharmaceuticals: major
TLX.DE;Talanx AG;Life/Health insurance
DTG.DE;Daimler Truck Holding AG;Motor vehicles
ADS.DE;adidas AG;Apparel/Footwear
HEN.DE;Henkel AG & Co. KGaA;Industrial specialties
FRE.DE;Fresenius SE & Co. KGaA;Hospital/Nursing management
HOT.DE;HOCHTIEF Aktiengesellschaft;Engineering & construction
VNA.DE;Vonovia SE;Real estate development
9JB0.DE;Seres Group Co. Ltd. Class H;
EBK.DE;ENBW Energie Baden-Wuerttemberg AG;Electric utilities
BEI.DE;Beiersdorf AG;Household/Personal care
HLAG.DE;Hapag-Lloyd AG;Marine shipping
MTX.DE;MTU Aero Engines AG;Aerospace & defense
SRT.DE;Sartorius AG;Pharmaceuticals: major
8TRA.DE;TRATON SE;Motor vehicles
KBX.DE;Knorr-Bremse AG;Auto parts: OEM
UN0.DE;Uniper SE;Electric utilities
CON.DE;Continental AG;Automotive aftermarket
FME.DE;Fresenius Medical Care AG;Medical/Nursing services
PAH3.DE;Porsche Automobil Holding SE Pref;Motor vehicles
NEM.DE;Nemetschek SE;Packaged software
1CO.DE;Covestro AG TEMP;Chemicals: specialty
DWS.DE;DWS Group GmbH & Co. KGaA;Investment managers
SY1.DE;Symrise AG;Chemicals: specialty
LHA.DE;Deutsche Lufthansa AG;Airlines
G1A.DE;GEA Group Aktiengesellschaft;Industrial machinery
HLE.DE;HELLA GmbH & Co. KGaA;Auto parts: OEM
DWNI.DE;Deutsche Wohnen SE;Real estate development
KGX.DE;KION GROUP AG;Industrial machinery
HAG.DE;HENSOLDT AG;Aerospace & defense
EVD.DE;CTS Eventim AG & Co. KGaA;Movies/Entertainment
RAA.DE;Rational Aktiengesellschaft;Industrial machinery
BNR.DE;Brenntag SE;Wholesale distributors
FRA.DE;Fraport AG;Other transportation
O5G.DE;CPI PROPERTY GROUP S.A.;Real estate development
G24.DE;Scout24 SE;Miscellaneous commercial services
NDX1.DE;Nordex SE;Electrical products
EVK.DE;Evonik Industries AG;Chemicals: major diversified
SHA0.DE;Schaeffler AG;Auto parts: OEM
ZAL.DE;Zalando SE;Internet retail
TKA.DE;thyssenkrupp AG;Steel
AG1.DE;AUTO1 Group SE;Internet software/Services
R3NK.DE;RENK Group AG;Aerospace & defense
DHER.DE;Delivery Hero SE;Air freight/Couriers
BC8.DE;Bechtle AG;Information technology services
NDA.DE;Aurubis AG;Other metals/Minerals
LEG.DE;LEG Immobilien SE;Real estate development
OBCK.DE;Ottobock SE & Co. KGaA;Medical specialties
UTDI.DE;United Internet AG;Major telecommunications
FPE.DE;FUCHS SE;Industrial specialties
SPG.DE;Springer Nature AG & Co. KGaA;Commercial printing/Forms
1U1.DE;1&1 AG;Specialty telecommunications
AFX.DE;Carl Zeiss Meditec AG;Medical specialties
TKMS.DE;TKMS AG & Co. KGaA;Trucks/Construction/Farm machinery
KRN.DE;Krones AG;Industrial machinery
IOS.DE;IONOS Group SE;Data processing services
GIL.DE;DMG MORI Aktiengesellschaft;Industrial machinery
FIE.DE;Fielmann Group AG;Medical specialties
GBF.DE;Bilfinger SE;Engineering & construction
FTK.DE;flatexDEGIRO AG;Investment banks/Brokers
N1V1.DE;Nova Ljubljanska banka d.d.;Major banks
